CPT,LOCALITY,YEAR,NON_FAC_LC,OCSF_STANDARD_FEE
28585,03,2022,1034.91,4192.0
28636,03,2022,365.93,591.0
28645,03,2022,756.11,825.0
28660,03,2022,145.56,330.0
28740,03,2022,970.59,2624.0
28750,03,2022,918.27,1870.0
28755,03,2022,586.76,1650.0
28820,03,2022,351.09,2200.0
28825,03,2022,344.01,2145.0
28890,03,2022,353.73,1155.0
29035,03,2022,294.65,1359.0
29055,03,2022,257.94,289.0
29058,03,2022,144.69,228.0
29065,03,2022,112.91,302.0
29075,03,2022,100.64,284.0
29085,03,2022,111.45,260.0
29086,03,2022,86.97,440.0
29105,03,2022,94.97,214.0
29125,03,2022,75.57,163.0
29130,03,2022,48.7,165.0
29131,03,2022,61.56,220.0
29240,03,2022,34.32,124.0
29260,03,2022,34.59,110.0
29280,03,2022,34.21,110.0
29325,03,2022,316.8,330.0
29345,03,2022,158.96,380.0
29355,03,2022,166.8,330.0
29358,03,2022,186.48,440.0
29365,03,2022,143.99,220.0
29405,03,2022,92.05,330.0
29425,03,2022,86.48,220.0
29435,03,2022,130.96,275.0
29445,03,2022,149.1,468.0
29450,03,2022,170.02,220.0
29505,03,2022,100.05,249.0
29515,03,2022,82.26,179.0
29540,03,2022,32.32,82.0
29550,03,2022,21.83,124.0
29580,03,2022,74.48,116.0
29700,03,2022,71.73,119.0
29705,03,2022,73.56,151.0
29730,03,2022,74.64,192.0
29740,03,2022,117.18,77.0
29870,03,2022,656.78,3300.0
36140,03,2022,612.66,374.0
36589,03,2022,197.96,825.0
36904,03,2022,2147.52,9219.0
38220,03,2022,178.48,183.0
38500,03,2022,412.13,616.0
62264,03,2022,516.71,1441.0
62267,03,2022,312.66,660.0
62272,03,2022,207.13,595.0
62273,03,2022,196.34,324.0
62281,03,2022,277.1,544.0
62282,03,2022,373.13,512.0
62290,03,2022,418.52,1358.0
62291,03,2022,379.65,1276.0
62302,03,2022,303.11,660.0
62304,03,2022,299.71,1320.0
62320,03,2022,193.55,883.0
62321,03,2022,306.15,1305.0
62322,03,2022,163.93,822.0
62323,03,2022,301.67,1276.0
62324,03,2022,161.37,777.0
62325,03,2022,297.01,1164.0
62326,03,2022,163.27,812.0
62327,03,2022,308.81,1180.0
62368,03,2022,52.47,210.0
63650,03,2022,2704.06,1224.0
63661,03,2022,810.27,990.0
64400,03,2022,134.76,424.0
64405,03,2022,91.56,358.0
64417,03,2022,161.72,550.0
64418,03,2022,103.01,550.0
64420,03,2022,113.28,675.0
64421,03,2022,38.69,660.0
64425,03,2022,129.23,440.0
64450,03,2022,88.42,386.0
64451,03,2022,266.76,980.0
64454,03,2022,260.54,1100.0
64455,03,2022,57.88,253.0
64479,03,2022,309.82,990.0
64480,03,2022,157.18,484.0
64483,03,2022,287.67,974.0
64484,03,2022,130.75,434.0
64490,03,2022,222.14,715.0
64491,03,2022,112.14,358.0
64492,03,2022,112.52,396.0
64493,03,2022,202.04,715.0
64494,03,2022,105.39,363.0
64495,03,2022,105.01,363.0
64505,03,2022,171.83,688.0
64510,03,2022,170.04,688.0
64520,03,2022,266.87,688.0
64530,03,2022,269.78,688.0
64555,03,2022,2564.14,8850.0
64590,03,2022,309.93,688.0
64595,03,2022,271.45,507.0
64600,03,2022,548.81,480.0
64610,03,2022,984.44,2000.0
64615,03,2022,193.12,550.0
64616,03,2022,171.35,484.0
64624,03,2022,455.03,1600.0
64625,03,2022,552.53,2023.0
64632,03,2022,103.87,385.0
64633,03,2022,512.42,1210.0
64634,03,2022,300.93,440.0
64635,03,2022,516.63,1210.0
64636,03,2022,283.96,440.0
64640,03,2022,287.61,962.0
64681,03,2022,548.25,1500.0
64721,03,2022,532.28,1870.0
69000,03,2022,219.35,638.0
95851,03,2022,23.4,94.0
95852,03,2022,19.62,74.0
95970,03,2022,22.48,95.0
95971,03,2022,57.07,265.0
95972,03,2022,65.34,248.0
95991,03,2022,126.27,460.0
97597,03,2022,116.91,220.0
97605,03,2022,47.94,116.0
97606,03,2022,56.64,129.0
97607,03,2022,436.67,1679.0
97608,03,2022,431.31,1650.0
98941,03,2022,44.2,209.0
99151,03,2022,79.24,400.0
99152,03,2022,58.44,265.0
99202,03,2022,83.88,230.0
99203,03,2022,129.97,356.0
99204,03,2022,193.14,530.0
99205,03,2022,255.5,700.0
99211,03,2022,26.05,66.0
99212,03,2022,65.07,178.0
99213,03,2022,103.87,285.0
99214,03,2022,145.74,400.0
99215,03,2022,206.91,568.0
99354,03,2022,145.84,660.0
99441,03,2022,63.66,88.0
99442,03,2022,103.16,126.0
99443,03,2022,145.74,198.0
99457,03,2022,56.15,264.0
G0179,03,2022,46.7,110.0
G0180,03,2022,60.26,165.0
G0181,03,2022,119.31,275.0
G0283,03,2022,13.94,44.0
G0289,03,2022,56.01,312.0
G0372,03,2022,10.16,72.0
11960,03,2022,1201.93,4400.0
13160,03,2022,959.05,996.0
14302,03,2022,260.91,1105.0
14350,03,2022,794.53,1254.0
15734,03,2022,1842.75,4708.0
15736,03,2022,1466.08,3765.0
15738,03,2022,1542.9,4002.0
15750,03,2022,1119.55,1995.0
15769,03,2022,575.53,2640.0
15777,03,2022,263.18,990.0
15836,03,2022,953.48,4400.0
15845,03,2022,1270.61,3953.0
15852,03,2022,57.71,152.0
15860,03,2022,130.13,233.0
20240,03,2022,167.03,458.0
20245,03,2022,420.65,1100.0
20660,03,2022,308.93,121.0
20690,03,2022,723.98,1650.0
20692,03,2022,1345.75,3008.0
20693,03,2022,529.15,1377.0
20696,03,2022,1428.49,6490.0
20703,03,2022,128.51,510.0
20704,03,2022,186.61,750.0
20802,03,2022,3352.01,15654.0
20805,03,2022,3989.0,13286.0
20808,03,2022,4822.17,12053.0
20816,03,2022,2510.06,6066.0
20822,03,2022,2161.83,5016.0
20824,03,2022,2514.22,6066.0
20827,03,2022,2218.9,5159.0
20902,03,2022,337.28,1310.0
20910,03,2022,569.4,1218.0
20924,03,2022,607.64,702.0
20931,03,2022,141.49,660.0
20932,03,2022,930.11,3600.0
20937,03,2022,210.45,921.0
20938,03,2022,235.59,1012.0
20939,03,2022,87.93,207.0
20956,03,2022,3227.54,11000.0
20970,03,2022,3479.98,7355.0
20972,03,2022,3470.19,6821.0
20973,03,2022,3669.72,6706.0
20975,03,2022,212.72,550.0
20985,03,2022,178.45,803.0
21556,03,2022,645.73,1353.0
21600,03,2022,683.16,916.0
21615,03,2022,772.34,2395.0
21931,03,2022,582.61,2321.0
22010,03,2022,1211.84,5390.0
22015,03,2022,1182.04,4675.0
22102,03,2022,944.65,3600.0
22110,03,2022,1326.21,6050.0
22114,03,2022,1452.11,3080.0
22116,03,2022,181.81,825.0
22206,03,2022,3102.25,12100.0
22207,03,2022,3018.98,12100.0
22208,03,2022,756.22,3300.0
22212,03,2022,1889.36,8124.0
22214,03,2022,1889.09,7000.0
22216,03,2022,459.6,2000.0
22224,03,2022,1960.85,5922.0
22325,03,2022,1854.11,6092.0
22326,03,2022,1919.79,4961.0
22327,03,2022,1935.24,8816.0
22533,03,2022,2054.17,7480.0
22534,03,2022,454.46,1705.0
22551,03,2022,2165.82,12750.0
22552,03,2022,507.44,3300.0
22554,03,2022,1590.33,6883.0
22556,03,2022,2100.55,6000.0
22558,03,2022,1917.66,7526.0
22585,03,2022,413.12,1855.0
22595,03,2022,1933.97,4950.0
22600,03,2022,1644.95,6044.0
22610,03,2022,1609.53,5943.0
22612,03,2022,1991.52,7468.0
22614,03,2022,499.11,2114.0
22630,03,2022,2015.07,7526.0
22632,03,2022,413.03,1210.0
22633,03,2022,2343.87,8250.0
22634,03,2022,633.96,2750.0
22800,03,2022,1691.29,6944.0
22802,03,2022,2654.97,7882.0
22808,03,2022,2293.58,8965.0
22810,03,2022,2459.42,6386.0
22830,03,2022,1028.71,4146.0
22840,03,2022,966.66,4080.0
22842,03,2022,973.48,3933.0
22843,03,2022,1040.28,4000.0
22845,03,2022,931.54,4400.0
22846,03,2022,968.56,4201.0
22848,03,2022,454.19,2000.0
22849,03,2022,1645.91,6303.0
22850,03,2022,921.37,3575.0
22852,03,2022,882.94,3455.0
22853,03,2022,329.41,2003.0
22854,03,2022,428.91,1548.0
22855,03,2022,1396.55,3886.0
22856,03,2022,2064.73,10450.0
22857,03,2022,2158.68,13373.0
22858,03,2022,642.65,3300.0
22859,03,2022,424.04,2008.0
22861,03,2022,3016.77,12000.0
22865,03,2022,2934.52,12000.0
22867,03,2022,1354.46,5684.0
22868,03,2022,312.17,1440.0
22869,03,2022,508.29,3078.0
22870,03,2022,140.16,836.0
23020,03,2022,837.77,3795.0
23035,03,2022,830.53,1980.0
23040,03,2022,874.95,2806.0
23044,03,2022,689.63,3300.0
23071,03,2022,518.52,1229.0
23073,03,2022,858.3,2174.0
23076,03,2022,666.07,2120.0
23101,03,2022,555.07,1320.0
23105,03,2022,776.97,1100.0
23120,03,2022,710.78,2640.0
23130,03,2022,751.05,2970.0
23140,03,2022,674.94,3630.0
23150,03,2022,805.18,2200.0
23156,03,2022,826.05,2200.0
23180,03,2022,813.89,3606.0
23182,03,2022,815.9,3300.0
23333,03,2022,573.28,2530.0
23335,03,2022,1541.72,6600.0
23397,03,2022,1387.0,6600.0
23405,03,2022,748.53,2310.0
23406,03,2022,896.85,4400.0
23410,03,2022,996.6,3630.0
23412,03,2022,1036.11,3630.0
23415,03,2022,849.29,2970.0
23420,03,2022,1185.39,4400.0
23430,03,2022,903.54,2860.0
23440,03,2022,922.34,2750.0
23455,03,2022,1210.98,4070.0
23460,03,2022,1331.4,4011.0
23462,03,2022,1303.94,5830.0
23465,03,2022,1366.75,4006.0
23466,03,2022,1362.33,3850.0
23470,03,2022,1460.01,5280.0
23472,03,2022,1762.64,6380.0
23473,03,2022,1966.43,7927.0
23474,03,2022,2122.99,9768.0
23485,03,2022,1158.83,2750.0
23515,03,2022,873.66,2970.0
23550,03,2022,693.47,2080.0
23552,03,2022,793.83,2343.0
23585,03,2022,1192.18,5500.0
23615,03,2022,1074.21,3630.0
23616,03,2022,1504.6,5203.0
23630,03,2022,943.97,2970.0
23655,03,2022,495.03,825.0
23660,03,2022,708.71,3190.0
23670,03,2022,1053.99,2121.0
23680,03,2022,1128.52,5060.0
23700,03,2022,237.1,605.0
23800,03,2022,1251.8,1903.0
23802,03,2022,1561.58,2115.0
23935,03,2022,615.98,928.0
24000,03,2022,573.82,1954.0
24006,03,2022,862.41,2640.0
24071,03,2022,499.98,1320.0
24073,03,2022,851.81,3520.0
24076,03,2022,665.04,1925.0
24077,03,2022,1272.54,2079.0
24100,03,2022,508.54,1097.0
24101,03,2022,608.95,2704.0
24102,03,2022,750.59,1320.0
24105,03,2022,431.05,1925.0
24115,03,2022,898.62,3601.0
24116,03,2022,1049.51,3300.0
24120,03,2022,645.05,1870.0
24130,03,2022,615.38,1842.0
24134,03,2022,910.95,1811.0
24136,03,2022,770.06,1811.0
